사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2020-02,5호선,2527,여의도,575597,613334,40322,37133
2020-02,5호선,2528,여의나루,164887,172322,19572,18294
2020-02,5호선,2529,마포,298198,308893,47427,46752
2020-02,5호선,2530,공덕,310000,337520,34067,32438
2020-02,5호선,2531,애오개,146740,149318,29450,28551
2020-02,5호선,2532,충정로(경기대입구),98453,101183,12232,12431
2020-02,5호선,2533,서대문,378226,390833,51407,49264
2020-02,5호선,2534,광화문(세종문화회관),740431,783122,73352,69812
2020-02,5호선,2535,종로3가,267364,254729,76473,80417
2020-02,5호선,2536,을지로4가,105377,110953,33049,32986
2020-02,5호선,2537,동대문역사문화공원,66110,76502,7920,8495
2020-02,5호선,2538,청구,82324,76786,21782,16997
2020-02,5호선,2539,신금호,126050,125246,28182,31694
2020-02,5호선,2540,행당,168430,148618,36521,33526
2020-02,5호선,2541,왕십리(성동구청),97941,115038,19269,18123
2020-02,5호선,2542,마장,110411,104092,31317,31247
2020-02,5호선,2543,답십리,345142,312353,62828,61266
2020-02,5호선,2544,장한평,386431,383637,74414,75376
2020-02,5호선,2545,군자(능동),250667,275913,30387,31834
2020-02,5호선,2546,아차산(어린이대공원후문),286015,278018,72967,71685
2020-02,5호선,2547,광나루(장신대),287695,255124,50291,49107
2020-02,5호선,2548,천호(풍납토성),381699,391877,96752,101866
2020-02,5호선,2549,강동,422702,371973,81558,74165
2020-02,5호선,2550,길동,135746,145544,49846,51977
2020-02,5호선,2551,굽은다리(강동구민회관앞),180936,171817,49648,46562
2020-02,5호선,2552,명일,158255,163033,46597,48760
2020-02,5호선,2553,고덕,170850,171954,42383,42528
2020-02,5호선,2554,상일동,324815,272453,63888,60721
2020-02,5호선,2555,둔촌동,165839,167586,46739,47463
2020-02,5호선,2556,올림픽공원(한국체대),76352,68472,21649,20165
2020-02,5호선,2557,방이,146695,150805,33660,33302
2020-02,5호선,2558,오금,73411,73967,14492,14287
2020-02,5호선,2559,개롱,129130,132751,33466,34521
2020-02,5호선,2560,거여,146804,136166,41599,41264
2020-02,5호선,2561,마천,92448,90607,37122,39151
2020-02,6호선,2611,응암,355589,350210,87865,88154
2020-02,6호선,2612,역촌,70867,85973,26122,25704
2020-02,6호선,2613,불광,88552,91828,29479,24529
2020-02,6호선,2614,독바위,55650,56860,14997,18341
2020-02,6호선,2615,연신내,17,0,2,0
2020-02,6호선,2616,구산,149434,102263,39612,40208
2020-02,6호선,2617,새절(신사),262082,242176,66274,67220
2020-02,6호선,2618,증산(명지대앞),204966,195069,54171,54226
2020-02,6호선,2619,디지털미디어시티,294824,323775,42143,42793
2020-02,6호선,2620,월드컵경기장(성산),80368,87432,34803,34510
2020-02,6호선,2621,마포구청,297978,263272,60329,55384
2020-02,6호선,2622,망원,301553,332118,62924,65650
2020-02,6호선,2623,합정,332459,320882,29925,27798
2020-02,6호선,2624,상수,226579,262631,16713,16857
2020-02,6호선,2625,광흥창(서강),189863,183848,36151,35754
2020-02,6호선,2626,대흥(서강대앞),169975,178113,33850,33939
2020-02,6호선,2627,공덕,400171,393645,57497,53956
2020-02,6호선,2628,효창공원앞,143434,127364,29705,28022
2020-02,6호선,2629,삼각지,139883,120703,12941,10528
2020-02,6호선,2630,녹사평(용산구청),125460,130923,14870,14372
2020-02,6호선,2631,이태원,322074,356712,25561,26492
2020-02,6호선,2632,한강진,184664,221342,12309,12115
2020-02,6호선,2633,버티고개,46129,42114,11131,12932
2020-02,6호선,2634,약수,75418,76920,18023,17461
2020-02,6호선,2635,청구,79322,84326,16304,20160
2020-02,6호선,2636,신당,195963,200855,29643,28198
2020-02,6호선,2637,동묘앞,157974,164931,50018,45554
2020-02,6호선,2638,창신,72364,55297,14144,13104
2020-02,6호선,2639,보문,163859,148612,24473,23644
2020-02,6호선,2640,안암(고대병원앞),228052,229282,25126,23847
2020-02,6호선,2641,고려대(종암),175882,168720,26129,26554
2020-02,6호선,2642,월곡(동덕여대),231518,224787,57214,57078
2020-02,6호선,2643,상월곡(한국과학기술연구원),122286,105179,29880,29386
2020-02,6호선,2644,돌곶이,174000,160982,42924,42920
2020-02,6호선,2645,석계,259373,266396,58481,58986
2020-02,6호선,2646,태릉입구,112469,127316,21863,23201
2020-02,6호선,2647,화랑대(서울여대입구),250421,188201,35151,31196
2020-02,6호선,2648,봉화산(서울의료원),198591,176780,38290,37225
2020-02,6호선,2649,신내,4,0,0,0
2020-02,7호선,2711,장암,55541,17613,6158,3917
2020-02,7호선,2712,도봉산,190928,221020,30315,45430
2020-02,7호선,2713,수락산,257507,257604,65777,66364
2020-02,7호선,2714,마들,234679,219296,60040,60655
2020-02,7호선,2715,노원,424601,458369,86309,86695
2020-02,7호선,2716,중계,299562,266462,68704,66764
2020-02,7호선,2717,하계,373476,350154,76597,72882
2020-02,7호선,2718,공릉(서울과학기술대),248978,248218,52034,52347
2020-02,7호선,2719,태릉입구,172712,158696,31613,29224
2020-02,7호선,2720,먹골,217091,209399,47699,48523
2020-02,7호선,2721,중화,235216,226871,50793,50784
2020-02,7호선,2722,상봉(시외버스터미널),391023,367826,55317,53266
2020-02,7호선,2723,면목,316722,301504,72856,75252
2020-02,7호선,2724,사가정,325846,323483,73595,74294
2020-02,7호선,2725,용마산,126091,115821,27675,30136
2020-02,7호선,2726,중곡,203894,186635,47315,47763
